Run,Assay Type,AvgSpotLen,background_strain,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,batch
SRR17214852,RNA-Seq,252,C57BL/6;Sv/129,6895714140,PRJNA788447,SAMN23971344,2948931232,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394770,Rb(F/F);p107(-/-);p130(F/F),Illumina HiSeq 2500,GSM5731254,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:18:00Z,1,GSM5731254,FACS-isolated SVZ cells,SRP350509,February
SRR17214853,RNA-Seq,252,C57BL/6;Sv/129,6570158616,PRJNA788447,SAMN23971345,2883196781,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394769,Rb(F/+);p107(+/-);p130(F/+),Illumina HiSeq 2500,GSM5731253,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:16:00Z,1,GSM5731253,FACS-isolated SVZ cells,SRP350509,November
SRR17214854,RNA-Seq,252,C57BL/6;Sv/129,7206957576,PRJNA788447,SAMN23971346,3083326052,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394768,Rb(F/+);p107(+/-);p130(F/+),Illumina HiSeq 2500,GSM5731252,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:20:00Z,1,GSM5731252,FACS-isolated SVZ cells,SRP350509,November
SRR17215051,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,10335442320,PRJNA788446,SAMN23971442,5166421548,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394967,E2F1(+/-);E2F3(F/+),Illumina HiSeq 2500,GSM5731247,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:30:00Z,1,GSM5731247,FACS-isolated SVZ cells,SRP350500,
SRR17215052,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,11189713248,PRJNA788446,SAMN23971443,5463376437,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394966,E2F1(+/-);E2F3(F/+),Illumina HiSeq 2500,GSM5731246,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:46:00Z,1,GSM5731246,FACS-isolated SVZ cells,SRP350500,
SRR17215053,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,9643842180,PRJNA788446,SAMN23971444,4713049201,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394965,E2F1(+/-);E2F3(F/+),Illumina HiSeq 2500,GSM5731245,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:29:00Z,1,GSM5731245,FACS-isolated SVZ cells,SRP350500,
SRR17214850,RNA-Seq,252,C57BL/6;Sv/129,7272771156,PRJNA788447,SAMN23971342,3075726985,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394772,Rb(F/F);p107(-/-);p130(F/F),Illumina HiSeq 2500,GSM5731256,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:12:00Z,1,GSM5731256,FACS-isolated SVZ cells,SRP350509,November
SRR17214851,RNA-Seq,252,C57BL/6;Sv/129,6669642924,PRJNA788447,SAMN23971343,2788563669,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394771,Rb(F/F);p107(-/-);p130(F/F),Illumina HiSeq 2500,GSM5731255,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:13:00Z,1,GSM5731255,FACS-isolated SVZ cells,SRP350509,November
SRR17214855,RNA-Seq,252,C57BL/6;Sv/129,7391302884,PRJNA788447,SAMN23971347,3154048742,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394767,Rb(F/+);p107(+/-);p130(F/+),Illumina HiSeq 2500,GSM5731251,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:19:00Z,1,GSM5731251,FACS-isolated SVZ cells,SRP350509,February
SRR17215048,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,10000511136,PRJNA788446,SAMN23971439,4861136106,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394970,E2F1(-/-);E2F3(F/F),Illumina HiSeq 2500,GSM5731250,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:41:00Z,1,GSM5731250,FACS-isolated SVZ cells,SRP350500,
SRR17215049,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,11207047824,PRJNA788446,SAMN23971440,5479426656,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394969,E2F1(-/-);E2F3(F/F),Illumina HiSeq 2500,GSM5731249,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:46:00Z,1,GSM5731249,FACS-isolated SVZ cells,SRP350500,
SRR17215050,RNA-Seq,252,C57BL/6;Sv/129;FVB/N,9510288228,PRJNA788446,SAMN23971441,4647005283,FACS-isolated SVZ cells,"RUTH SLACK LABORATORY, BRAIN AND MIND RESEARCH INSTITUTE, UNIVERSITY OF OTTAWA",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13394968,E2F1(-/-);E2F3(F/F),Illumina HiSeq 2500,GSM5731248,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2022-11-01T00:00:00Z,2021-12-13T11:47:00Z,1,GSM5731248,FACS-isolated SVZ cells,SRP350500,
